ID,alias,vbw,n_vecs,Elapsed Cycles (cycle),Kernel Name,Block Size,Grid Size,Memory Throughput (%),DRAM Throughput (%),L1/TEX Cache Throughput (%),L2 Cache Throughput (%),SM Active Cycles (cycle),Compute (SM) Throughput (%),Registers Per Thread (register/thread),Threads (thread),Waves Per SM (),Block Limit SM (block),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit Warps (block),Theoretical Active Warps per SM (warp),Theoretical Occupancy (%),Achieved Occupancy (%),Achieved Active Warps Per SM (warp)
4,bp-4v,4,125000,201755,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",48.92,48.92,26.03,16.44,195768.19,86.28,30,1000000,6.10,32,32,32,32,64,100,89.63,57.36
5,bp-4v,5,125000,218691,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",56.23,56.23,27.00,19.06,211975.42,85.25,30,1000000,6.10,32,32,32,32,64,100,89.94,57.56
6,bp-4v,6,125000,217898,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",67.26,67.26,26.98,23.13,212074.79,85.72,30,1000000,6.10,32,32,32,32,64,100,89.51,57.29
7,bp-4v,7,125000,229651,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",73.95,73.95,27.29,26.12,221125.95,84.65,30,1000000,6.10,32,32,32,32,64,100,89.55,57.31
8,bp-4v,8,125000,214313,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",92.29,92.29,27.92,35.07,204653.71,81.67,30,1000000,6.10,32,32,32,32,64,100,88.95,56.93
9,bp-4v,9,125000,250993,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",88.42,88.42,27.09,33.72,238066.01,80.99,30,1000000,6.10,32,32,32,32,64,100,88.28,56.50
10,bp-4v,10,125000,264996,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",92.72,92.72,30.42,38.00,251610.60,76.74,30,1000000,6.10,32,32,32,32,64,100,87.70,56.13
11,bp-4v,11,125000,290202,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",93.05,93.05,30.31,37.85,275869.31,72.56,30,1000000,6.10,32,32,32,32,64,100,87.63,56.08
12,bp-4v,12,125000,308138,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",94.70,94.70,31.53,39.58,295010.60,65.80,30,1000000,6.10,32,32,32,32,64,100,88.29,56.51
13,bp-4v,13,125000,337631,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",93.18,93.18,30.78,38.89,324347.38,63.40,30,1000000,6.10,32,32,32,32,64,100,88.17,56.43
